,ID,ENTRYTYPE,author,bib-gs_bronze_gquerya,bib-scopus_bronze_querya,bib_id,booktitle,doi,isbn,issn,journal,note,number,pages,publisher,shorttitle,title,url,volume,year,assessment,data-type-tabular,data-type-text,data-type-image,task-disease-classification,task-risk-treatment-prediction,task-sd-training-augmentation,task-sd-realism,task-bias-evaluation,task-ner,task-ablation,model-bert_x,model-gpt_x,model-rnn_x,model-gan_x,model-attention-other_x,model-other-nn_x,Unnamed: 0,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,Assessment ,Primary Task,Secondary Task,Tertiary,disease-classification,disease-prediction,nn-synthetic-data-task-augmentation,non-nn-synthetic-data-task-augmentation,nlg,synthetic-data-realism,ner/entity-classification/re,bias-evaluation,qa,risk/treatment-prediction,scalability/performance,security task classification,embedding harmonization,patient-trial matching,ablation-study,PET A,PET B,PET C,PET Notes,Unnamed: 43,Data Type,Training Data Sources,Model,model-bert_y,model-gpt_y,model-gan_y,model-attention-other_y,model-lstm,model-rnn_y,model-diffusion,model-autoencoder,model-other-nn_y,Evaluation,Evaluation Data,evaluation-auroc,evaluation-auprc,Earliness,evaluation-auc,evaluation-accuracy,evaluation-average-diagnosis-time,evalutation-kappa,evaluation-loss,evaluation-f1,evaluation-precision,evaluation-recall,evaluation-perplexity,evaluation-r2,rp80,evaluation-similairity-GT,evaluation-similairity-dimensionwisedist(dwd),evaluation-pairwise-correlation-diff,evlaution-log-cluster,evaluation-synthetic-rank,evaluation-similairity-jensen-shannon-divergence,evaluation-similairity-dimensionwisestat(dws),evaluation-similairity-dimensionwiseavg(dwa),evaluation-similairity-dimensionwisepred(dwp),evaluation-similairity-dimensionwiseprob(dwp),evaluation-similairity-corr,evaluation-privacy-kl-divergence,evaluation-privacy-minkowshi-distance,evaluation-privacy-budget,evaluation-privacy-cosine-similairity,evaluation-similairity-normalized-distance,evaluation-survival-rate,evaluation-clinician,evaluation-error-rate,evaluation-similairity-jaccard,evaluation-hamming-loss,evaluation-bleu,evaluation-g-squared,evaluation-rogue,evaluation-bm25,evaluation-embedding-similairity,evaluation-cider,Clinical Domain,privacy-evaluation,privacy-evaluation notes,Summary,Conclusion,Notes,REPO
10,al_aziz_differentially_2022,article,"Al Aziz, M.M. and Ahmed, T. and Faequa, T. and Jiang, X. and Yao, Y. and Mohammed, N.",0.0,1.0,,,10.1145/3469035,,,ACM Transactions on Computing for Healthcare,,1,,,,Differentially {Private} {Medical} {Texts} {Generation} {Using} {Generative} {Neural} {Networks},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125710436&doi=10.1145%2f3469035&partnerID=40&md5=bf7a70d88b2b1576aa4ab9e37cad1358,3,2022.0,DP-SD,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,alam_fedsepsis:_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,Alam M.U.; Rahmani R.,"Alam, Mahbub Ul (57222724737); Rahmani, Rahim (8310584400)",57222724737; 8310584400,FedSepsis: A Federated Multi-Modal Deep Learning-Based Internet of Medical Things Application for Early Detection of Sepsis from Electronic Health Records Using Raspberry Pi and Jetson Nano Devices,2023.0,Sensors,23,2.0,970.0,,,,11.0,10.3390/s23020970,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146400657&doi=10.3390%2fs23020970&partnerID=40&md5=4859242161abf4048bf79828dea3563d,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85146400657,FL,Sepsis Prediction,Client Edge Device Computation Efficiency,,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Federated Learning,,CL,,,Tabular | Unstructured text,MIMIC-III,"Multimodal: ClinicalBERT, RNN-LSTM, GAN",1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0, AUPRC | AUROC | Earliness,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,General,-,-,,,,
12,alam_fedsepsis_2023,article,"Alam, M.U. and Rahmani, R.",0.0,1.0,,,10.3390/s23020970,,,Sensors,,2,,,,{FedSepsis}: {A} {Federated} {Multi}-{Modal} {Deep} {Learning}-{Based} {Internet} of {Medical} {Things} {Application} for {Early} {Detection} of {Sepsis} from {Electronic} {Health} {Records} {Using} {Raspberry} {Pi} and {Jetson} {Nano} {Devices},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146400657&doi=10.3390%2fs23020970&partnerID=40&md5=4859242161abf4048bf79828dea3563d,23,2023.0,CL,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,albitar_artificial_2022,article,"Albitar, L. and Zhao, T. and Huang, C. and Mahdian, M.",0.0,1.0,,,10.3390/diagnostics12123214,,,Diagnostics,,12,,,,Artificial {Intelligence} ({AI}) for {Detection} and {Localization} of {Unobturated} {Second} {Mesial} {Buccal} ({MB2}) {Canals} in {Cone}-{Beam} {Computed} {Tomography} ({CBCT}),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144898260&doi=10.3390%2fdiagnostics12123214&partnerID=40&md5=708cae17643420b773c823bd719870bd,12,2022.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,alghanmi_interpreting_2022,inproceedings,"Alghanmi, I. and Espinosa-Anke, L. and Schockaert, S.",0.0,1.0,,,10.1145/3477495.3532003,,,,,,460--470,,,Interpreting {Patient} {Descriptions} using {Distantly} {Supervised} {Similar} {Case} {Retrieval},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135074329&doi=10.1145%2f3477495.3532003&partnerID=40&md5=e3ee5e416339a43e284235b58e38d9bc,,2022.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ali_enhancing_2021,article,"Ali, N. and Abuel-Atta, A.H. and Zayed, H.H.",0.0,1.0,,,10.11591/ijai.v10.i2.pp316-323,,,IAES International Journal of Artificial Intelligence,,2,316--323,,,Enhancing the performance of cancer text classification model based on cancer hallmarks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104656151&doi=10.11591%2fijai.v10.i2.pp316-323&partnerID=40&md5=98e2499b11ca41031ab52db1d6f85ccb,10,2021.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ali_novel_2023,article,"Ali, A. and Pasha, M.F. and Guerrieri, A. and Guzzo, A. and Sun, X. and Saeed, A. and Hussain, A. and Fortino, G.",0.0,1.0,,,10.1109/TNSE.2023.3285070,,,IEEE Transactions on Network Science and Engineering,,5,2402--2418,,,A {Novel} {Homomorphic} {Encryption} and {Consortium} {Blockchain}-{Based} {Hybrid} {Deep} {Learning} {Model} for {Industrial} {Internet} of {Medical} {Things},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162705331&doi=10.1109%2fTNSE.2023.3285070&partnerID=40&md5=b449225558cf2411b82fabc0899b0274,10,2023.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,almudaifer_multi-task_2024,article,"Almudaifer, Abdullateef I and Covington, Whitney and Hairston, JaMor and Deitch, Zachary and Anand, Ankit and Carroll, Caleb M and Crisan, Estera and Bradford, William and Walter, Lauren A and Eaton, Ellen F",1.0,0.0,,,,,2041-1480,Journal of Biomedical Semantics,Publisher: Springer,1,11,,,Multi-task transfer learning for the prediction of entity modifiers in clinical text: application to opioid use disorder case detection,,15,2024.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,alnegheimish_cardea_2020,inproceedings,"Alnegheimish, S. and Alrashed, N. and Aleissa, F. and Althobaiti, S. and Liu, D. and Alsaleh, M. and Veeramachaneni, K.",0.0,1.0,,,10.1109/DSAA49011.2020.00068,,,,,,536--545,,,Cardea: {An} open automated machine learning framework for electronic health records,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098012161&doi=10.1109%2fDSAA49011.2020.00068&partnerID=40&md5=c186d7b472ca82cbd58cb0081b283efb,,2020.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,alsadi_deep-learning_2022,article,"Alsadi, A. and Majeed, N.K. and Saeed, D.M. and Dharmamer, Y. and Singh, M.B. and Patel, T.N.",0.0,1.0,,,10.34172/jnp.2022.17123,,,Journal of Nephropathology,,3,,,,A deep-learning approach at automated detection of electron-dense immune deposits in medical renal biopsies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134075748&doi=10.34172%2fjnp.2022.17123&partnerID=40&md5=760c80d32bcddbecb95d6fb04abb5ac5,11,2022.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,alzubi_cloud-iiot-based_2023,article,"Alzubi, J.A. and Alzubi, O.A. and Singh, A. and Ramachandran, M.",0.0,1.0,,,10.1109/TII.2022.3189170,,,IEEE Transactions on Industrial Informatics,,1,1080--1087,,,Cloud-{IIoT}-{Based} {Electronic} {Health} {Record} {Privacy}-{Preserving} by {CNN} and {Blockchain}-{Enabled} {Federated} {Learning},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134249881&doi=10.1109%2fTII.2022.3189170&partnerID=40&md5=a52cb990c5b26edac83f58b3f6da62a9,19,2023.0,DP-CL,1.0,0.0,0.0,,,,,,,,,,,,,,102.0,Alzubi J.A.; Alzubi O.A.; Singh A.; Ramachandran M.,"Alzubi, Jafar A. (56500521200); Alzubi, Omar A. (50460949000); Singh, Ashish (57211751093); Ramachandran, Manikandan (37061393600)",56500521200; 50460949000; 57211751093; 37061393600,Cloud-IIoT-Based Electronic Health Record Privacy-Preserving by CNN and Blockchain-Enabled Federated Learning,2023.0,IEEE Transactions on Industrial Informatics,19,1.0,,1080.0,1087.0,7.0,54.0,10.1109/TII.2022.3189170,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134249881&doi=10.1109%2fTII.2022.3189170&partnerID=40&md5=a52cb990c5b26edac83f58b3f6da62a9,Article,Final,,Scopus,2-s2.0-85134249881,FL | Blockchain,Abnormal User Detection,"Scalability, Privacy Analysis",,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Federated Learning,Differntial Privacty | Blockhain,DP-CL,,,Tabular,"MIMIC-III, PCORnet,OpenNHS",CNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Accuracy, Precision | ",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Security,1,Yes,,Obtained higher accuracy on each dataset compared to baseline models,Review side experiments?,
21,amiri_personal_2023,article,"Amiri, Zahra and Heidari, Arash and Darbandi, Mehdi and Yazdani, Yalda and Jafari Navimipour, Nima and Esmaeilpour, Mansour and Sheykhi, Farshid and Unal, Mehmet",1.0,0.0,,,,,2071-1050,Sustainability,Publisher: MDPI,16,12406,,,The personal health applications of machine learning techniques in the internet of behaviors,,15,2023.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,an_pascal_2020,article,"An, Y. and Wang, J. and Zhang, L. and Zhao, H. and Gao, Z. and Huang, H. and Du, Z. and Jiao, Z. and Yan, J. and Wei, X. and Jin, B.",0.0,1.0,,,10.1186/s12911-020-01216-9,,,BMC Medical Informatics and Decision Making,,1,,,,{PASCAL}: {A} pseudo cascade learning framework for breast cancer treatment entity normalization in {Chinese} clinical text,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090170804&doi=10.1186%2fs12911-020-01216-9&partnerID=40&md5=cd6b1e9bd0acb205e3ebc296d36f318f,20,2020.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,an_rahm_2020,article,"An, Y. and Mao, Y. and Zhang, L. and Jin, B. and Xiao, K. and Wei, X. and Yan, J.",0.0,1.0,,,10.1016/j.jbi.2020.103502,,,Journal of Biomedical Informatics,,,,,,{RAHM}: {Relation} augmented hierarchical multi-task learning framework for reasonable medication stocking,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088044216&doi=10.1016%2fj.jbi.2020.103502&partnerID=40&md5=2ebb789499a90e5a600f95331dabc178,108,2020.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,anetta_creating_2023,inproceedings,"Anetta, K.",0.0,1.0,,,,,,,,,157--164,,,Creating an {Annotated} {Health} {Record} {Dataset} in a {Limited}-{Resource} {Environment},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187228138&partnerID=40&md5=46d7b8a6a3be97ac93ec5c17d03cb090,,2023.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
