ID,ENTRYTYPE,author,bib-gs_bronze_gquerya,bib-scopus_bronze_querya,bib_id,booktitle,doi,isbn,issn,journal,note,number,pages,publisher,shorttitle,title,url,volume,year
ali_novel_2023,article,"Ali, A. and Pasha, M.F. and Guerrieri, A. and Guzzo, A. and Sun, X. and Saeed, A. and Hussain, A. and Fortino, G.",0,1,nan,nan,10.1109/TNSE.2023.3285070,nan,nan,IEEE Transactions on Network Science and Engineering,nan,5,2402--2418,nan,nan,A {Novel} {Homomorphic} {Encryption} and {Consortium} {Blockchain}-{Based} {Hybrid} {Deep} {Learning} {Model} for {Industrial} {Internet} of {Medical} {Things},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162705331&doi=10.1109%2fTNSE.2023.3285070&partnerID=40&md5=b449225558cf2411b82fabc0899b0274,10,2023.0
almudaifer_multi-task_2024,article,"Almudaifer, Abdullateef I and Covington, Whitney and Hairston, JaMor and Deitch, Zachary and Anand, Ankit and Carroll, Caleb M and Crisan, Estera and Bradford, William and Walter, Lauren A and Eaton, Ellen F",1,0,nan,nan,nan,nan,2041-1480,Journal of Biomedical Semantics,Publisher: Springer,1,11,nan,nan,Multi-task transfer learning for the prediction of entity modifiers in clinical text: application to opioid use disorder case detection,nan,15,2024.0
alnegheimish_cardea_2020,inproceedings,"Alnegheimish, S. and Alrashed, N. and Aleissa, F. and Althobaiti, S. and Liu, D. and Alsaleh, M. and Veeramachaneni, K.",0,1,nan,nan,10.1109/DSAA49011.2020.00068,nan,nan,nan,nan,nan,536--545,nan,nan,Cardea: {An} open automated machine learning framework for electronic health records,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098012161&doi=10.1109%2fDSAA49011.2020.00068&partnerID=40&md5=c186d7b472ca82cbd58cb0081b283efb,nan,2020.0
alsadi_deep-learning_2022,article,"Alsadi, A. and Majeed, N.K. and Saeed, D.M. and Dharmamer, Y. and Singh, M.B. and Patel, T.N.",0,1,nan,nan,10.34172/jnp.2022.17123,nan,nan,Journal of Nephropathology,nan,3,nan,nan,nan,A deep-learning approach at automated detection of electron-dense immune deposits in medical renal biopsies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134075748&doi=10.34172%2fjnp.2022.17123&partnerID=40&md5=760c80d32bcddbecb95d6fb04abb5ac5,11,2022.0
alzubi_cloud-iiot-based_2023,article,"Alzubi, J.A. and Alzubi, O.A. and Singh, A. and Ramachandran, M.",0,1,nan,nan,10.1109/TII.2022.3189170,nan,nan,IEEE Transactions on Industrial Informatics,nan,1,1080--1087,nan,nan,Cloud-{IIoT}-{Based} {Electronic} {Health} {Record} {Privacy}-{Preserving} by {CNN} and {Blockchain}-{Enabled} {Federated} {Learning},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134249881&doi=10.1109%2fTII.2022.3189170&partnerID=40&md5=a52cb990c5b26edac83f58b3f6da62a9,19,2023.0
amiri_personal_2023,article,"Amiri, Zahra and Heidari, Arash and Darbandi, Mehdi and Yazdani, Yalda and Jafari Navimipour, Nima and Esmaeilpour, Mansour and Sheykhi, Farshid and Unal, Mehmet",1,0,nan,nan,nan,nan,2071-1050,Sustainability,Publisher: MDPI,16,12406,nan,nan,The personal health applications of machine learning techniques in the internet of behaviors,nan,15,2023.0
an_pascal_2020,article,"An, Y. and Wang, J. and Zhang, L. and Zhao, H. and Gao, Z. and Huang, H. and Du, Z. and Jiao, Z. and Yan, J. and Wei, X. and Jin, B.",0,1,nan,nan,10.1186/s12911-020-01216-9,nan,nan,BMC Medical Informatics and Decision Making,nan,1,nan,nan,nan,{PASCAL}: {A} pseudo cascade learning framework for breast cancer treatment entity normalization in {Chinese} clinical text,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090170804&doi=10.1186%2fs12911-020-01216-9&partnerID=40&md5=cd6b1e9bd0acb205e3ebc296d36f318f,20,2020.0
an_rahm_2020,article,"An, Y. and Mao, Y. and Zhang, L. and Jin, B. and Xiao, K. and Wei, X. and Yan, J.",0,1,nan,nan,10.1016/j.jbi.2020.103502,nan,nan,Journal of Biomedical Informatics,nan,nan,nan,nan,nan,{RAHM}: {Relation} augmented hierarchical multi-task learning framework for reasonable medication stocking,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088044216&doi=10.1016%2fj.jbi.2020.103502&partnerID=40&md5=2ebb789499a90e5a600f95331dabc178,108,2020.0
anetta_creating_2023,inproceedings,"Anetta, K.",0,1,nan,nan,nan,nan,nan,nan,nan,nan,157--164,nan,nan,Creating an {Annotated} {Health} {Record} {Dataset} in a {Limited}-{Resource} {Environment},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187228138&partnerID=40&md5=46d7b8a6a3be97ac93ec5c17d03cb090,nan,2023.0
annapragada_natural_2021,article,"Annapragada, A.V. and Donaruma, M.M. and Annapragada, A.V. and Starosolski, Z.A.",0,1,nan,nan,10.1371/journal.pone.0247404,nan,nan,PLoS ONE,nan,2 Febuary,nan,nan,nan,A natural language processing and deep learning approach to identify child abuse from pediatric electronic medical records,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102077957&doi=10.1371%2fjournal.pone.0247404&partnerID=40&md5=210f0035692d7e22efa8d3581c14e3b5,16,2021.0
arulmozhi_securing_2023,inproceedings,"Arulmozhi, B. and Sheeba, J.I. and Pradeep Devaneyan, S.",0,1,nan,nan,10.1007/978-981-19-7874-6_53,nan,nan,nan,nan,nan,719--733,nan,nan,Securing {Health} {Records} {Using} {Quantum} {Convolutional} {Neural} {Network},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149679787&doi=10.1007%2f978-981-19-7874-6_53&partnerID=40&md5=aaee9a68cd74bd84a80568f8b77f22a0,587,2023.0
azzouzi_automatic_2024,article,"Azzouzi, Mohamed El and Coatrieux, Gouenou and Bellafqira, Reda and Delamarre, Denis and Riou, Christine and Oubenali, Naima and Cabon, Sandie and Cuggia, Marc and Bouzillé, Guillaume",1,0,nan,nan,nan,nan,1472-6947,BMC Medical Informatics and Decision Making,Publisher: Springer,1,54,nan,nan,Automatic de-identification of {French} electronic health records: a cost-effective approach exploiting distant supervision and deep learning models,nan,24,2024.0
babaian_nlp_2024,inproceedings,"Babaian, T. and Xu, J.",0,1,nan,nan,10.1007/978-3-031-49215-0_2,nan,nan,nan,nan,nan,11--16,nan,nan,{NLP} in {Healthcare}: {Developing} {Interactive} {Integrated} {Collaborative} {Assistants},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180536648&doi=10.1007%2f978-3-031-49215-0_2&partnerID=40&md5=c9034936522f3b2a226e0c2b10d6db24,1958 CCIS,2024.0
bacchi_mixed-data_2021,article,"Bacchi, S. and Gluck, S. and Tan, Y. and Chim, I. and Cheng, J. and Gilbert, T. and Jannes, J. and Kleinig, T. and Koblar, S.",0,1,nan,nan,10.1007/s11739-021-02697-w,nan,nan,Internal and Emergency Medicine,nan,6,1613--1617,nan,nan,Mixed-data deep learning in repeated predictions of general medicine length of stay: a derivation study,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102487376&doi=10.1007%2fs11739-021-02697-w&partnerID=40&md5=9ef30f107639b767dd5ab44aaf8c6aea,16,2021.0
banerjee_ehr_2024,inproceedings,"Banerjee, S. and Barik, S. and Das, D. and Ghosh, U.",0,1,nan,nan,10.1007/978-3-031-45878-1_17,nan,nan,nan,nan,nan,243--260,nan,nan,{EHR} {Security} and {Privacy} {Aspects}: {A} {Systematic} {Review},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177172221&doi=10.1007%2f978-3-031-45878-1_17&partnerID=40&md5=afd7117a925aa4984112f853d645b4c8,683 AICT,2024.0
barth_biomedical_2023,inproceedings,"Barth, F. and Weber-Genzel, L. and Leser, U.",0,1,nan,nan,nan,nan,nan,nan,nan,nan,442--453,nan,nan,Biomedical {Event} {Extraction} with {Generative} {Language} {Models},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184654872&partnerID=40&md5=91643807d21cf261fbfedd048178b598,3630,2023.0
bautista_health_2023,inproceedings,"Bautista, Yohn Jairo Parra and Theran, Carlos and Aló, Richard and Lima, Vinicious",1,0,nan,nan,nan,nan,nan,nan,nan,nan,220--232,Springer,nan,Health {Disparities} {Through} {Generative} {AI} {Models}: {A} {Comparison} {Study} {Using} a {Domain} {Specific} {Large} {Language} {Model},nan,nan,2023.0
bedi_extractive_2024,article,"Bedi, P.P.S. and Bala, M. and Sharma, K.",0,1,nan,nan,10.1111/exsy.13490,nan,nan,Expert Systems,nan,7,nan,nan,nan,Extractive text summarization for biomedical transcripts using deep dense {LSTM}-{CNN} framework,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175738212&doi=10.1111%2fexsy.13490&partnerID=40&md5=702426980cd4b69dc093e894f0f21407,41,2024.0
bernstein_automated_2024,inproceedings,"Bernstein, I.A. and Koornwinder, A. and Hwang, H.H. and Wang, S.Y.",0,1,nan,nan,10.1016/j.xops.2023.100371,nan,nan,nan,Issue: 2,nan,nan,nan,nan,Automated {Recognition} of {Visual} {Acuity} {Measurements} in {Ophthalmology} {Clinical} {Notes} {Using} {Deep} {Learning},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174056052&doi=10.1016%2fj.xops.2023.100371&partnerID=40&md5=7c2ae1ed9dca53ef6f76a4ef74834ddb,4,2024.0
bertsimas_policy_2024,article,"Bertsimas, Dimitris and Peroni, Matthew",1,0,nan,nan,nan,nan,nan,arXiv preprint arXiv:2405.20486,nan,nan,nan,nan,nan,Policy {Trees} for {Prediction}: {Interpretable} and {Adaptive} {Model} {Selection} for {Machine} {Learning},nan,nan,2024.0
bhardwaj_novel_2024,article,"Bhardwaj, Priti and Baliyan, Niyati",1,0,nan,nan,nan,nan,0377-2063,IETE Journal of Research,Publisher: Taylor \& Francis,nan,1--11,nan,nan,A {Novel} and {Effective} {Multi}-{Class} {Classification} {Method} for {Imbalanced} {Medical} {Transcriptions},nan,nan,2024.0
bhatia_aws_2021,inproceedings,"Bhatia, Parminder and Liu, Lan and Arumae, Kristjan and Pourdamghani, Nima and Deshpande, Suyog and Snively, Ben and Mona, Mona and Wise, Colby and Price, George and Ramaswamy, Shyam",1,0,nan,nan,nan,nan,nan,nan,nan,nan,131--145,Springer,nan,{AWS} {CORD}-19 search: a neural search engine for {COVID}-19 literature,nan,nan,2021.0
bhatia_efficient_2022,article,"Bhatia, Surbhi and Alojail, Mohammed and Sengan, Sudhakar and Dadheech, Pankaj",1,0,nan,nan,nan,nan,2296-2565,Frontiers in Public Health,Publisher: Frontiers,nan,926229,nan,nan,An efficient modular framework for automatic {LIONC} classification of {MedIMG} using unified medical language,nan,10,2022.0
bhattacharya_multi-modal_2022,article,"Bhattacharya, A. and Sadasivuni, S. and Chao, C.-J. and Agasthi, P. and Ayoub, C. and Holmes, D.R. and Arsanjani, R. and Sanyal, A. and Banerjee, I.",0,1,nan,nan,10.1088/1361-6579/ac9e8a,nan,nan,Physiological Measurement,nan,12,nan,nan,nan,Multi-modal fusion model for predicting adverse cardiovascular outcome post percutaneous coronary intervention,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144592182&doi=10.1088%2f1361-6579%2fac9e8a&partnerID=40&md5=865580af5f5dcf06a3648ec78352a900,43,2022.0
bignoumba_new_2024,article,"Bignoumba, N. and Mellouli, N. and Yahia, S.B.",0,1,nan,nan,10.1016/j.eswa.2023.122148,nan,nan,Expert Systems with Applications,nan,nan,nan,nan,nan,A new efficient {ALignment}-driven {Neural} {Network} for {Mortality} {Prediction} from {Irregular} {Multivariate} {Time} {Series} data[{Formula} presented],https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174913085&doi=10.1016%2fj.eswa.2023.122148&partnerID=40&md5=ef7102da7cf0fb3d677b57a72a678162,238,2024.0
bindyashree_trends_2023,inproceedings,"Bindyashree, C.A. and Basha, S.M.",0,1,nan,nan,10.1109/ICOSEC58147.2023.10276025,nan,nan,nan,nan,nan,654--659,nan,nan,Trends and {Challenges} of {Block} {Chain} in {Electronic} {Health} {Record} {System},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175723699&doi=10.1109%2fICOSEC58147.2023.10276025&partnerID=40&md5=73eaab71538c77b4ad2680956c7d99b2,nan,2023.0
biswas_enhancing_2024,article,"Biswas, Anjanava and Talukdar, Wrick",1,0,nan,nan,nan,nan,nan,arXiv preprint arXiv:2406.06569,nan,nan,nan,nan,nan,Enhancing {Clinical} {Documentation} with {Synthetic} {Data}: {Leveraging} {Generative} {Models} for {Improved} {Accuracy},nan,nan,2024.0
biton_atrial_2021,article,"Biton, S. and Gendelman, S. and Ribeiro, A.H. and Miana, G. and Moreira, C. and Ribeiro, A.L.P. and Behar, J.A.",0,1,nan,nan,10.1093/ehjdh/ztab071,nan,nan,European Heart Journal - Digital Health,nan,4,576--585,nan,nan,Atrial fibrillation risk prediction from the 12-lead electrocardiogram using digital biomarkers and deep representation learning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153757977&doi=10.1093%2fehjdh%2fztab071&partnerID=40&md5=1db6b7ea7d5250973008108d5724a677,2,2021.0
blease_open_2023,article,"Blease, C.",0,1,nan,nan,10.1136/jme-2023-109574,nan,nan,Journal of Medical Ethics,nan,2,84--89,nan,nan,"Open {AI} meets open notes: surveillance capitalism, patient privacy and online record access",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178425332&doi=10.1136%2fjme-2023-109574&partnerID=40&md5=c2506682f42ce988dde9b9448ed0c5e9,50,2023.0
bosanska_pipeline_2022,inproceedings,"Bosanska, D.C. and Huptych, M. and Lhotská, L.",0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A {Pipeline} for {Population} and {Analysis} of {Personal} {Health} {Knowledge} {Graphs} ({PHKGs}),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139741025&partnerID=40&md5=28833fa16f80541448765d79137cf215,3235,2022.0
bose_survey_2021,article,"Bose, Priyankar and Srinivasan, Sriram and Sleeman IV, William C and Palta, Jatinder and Kapoor, Rishabh and Ghosh, Preetam",1,0,nan,nan,nan,nan,2076-3417,Applied Sciences,Publisher: MDPI,18,8319,nan,nan,A survey on recent named entity recognition and relationship extraction techniques on clinical texts,nan,11,2021.0
bousselham_fine-tuning_2024,inproceedings,"Bousselham, H. and Nfaoui, E.H. and Mourhir, A.",0,1,nan,nan,10.1109/ICCECE58645.2024.10497313,nan,nan,nan,nan,nan,nan,nan,nan,Fine-{Tuning} {GPT} on {Biomedical} {NLP} {Tasks}: {An} {Empirical} {Evaluation},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191747944&doi=10.1109%2fICCECE58645.2024.10497313&partnerID=40&md5=720c98e08c0ba30b36b5238866c6273a,nan,2024.0
burgun_basis_2019,article,"Burgun, A.",0,1,nan,nan,10.1016/j.canrad.2019.08.005,nan,nan,Cancer/Radiotherapie,nan,8,913--916,nan,Intelligence artificielle et radiothérapie : quelles bases et quelles perspectives ?,Basis and perspectives of artificial intelligence in radiation therapy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073726145&doi=10.1016%2fj.canrad.2019.08.005&partnerID=40&md5=f0f5a1bbfc85f76714153a03702e6e73,23,2019.0
butler_ai-based_2024,article,"Butler, L. and Gunturkun, F. and Chinthala, L. and Karabayir, I. and Tootooni, M.S. and Bakir-Batu, B. and Celik, T. and Akbilgic, O. and Davis, R.L.",0,1,nan,nan,10.3389/fcvm.2024.1360238,nan,nan,Frontiers in Cardiovascular Medicine,nan,nan,nan,nan,nan,{AI}-based preeclampsia detection and prediction with electrocardiogram data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188064281&doi=10.3389%2ffcvm.2024.1360238&partnerID=40&md5=d424ade15eac4b37b502c7095079587a,11,2024.0
cajica_analysis_2021,inproceedings,"Cajicá, F.A.M. and García Henao, J.A. and Hernández, C.J.B. and Riveill, M.",0,1,nan,nan,10.1007/978-3-030-68035-0_13,nan,nan,nan,nan,nan,178--192,nan,nan,Analysis of {Regularization} in {Deep} {Learning} {Models} on {Testbed} {Architectures},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102636917&doi=10.1007%2f978-3-030-68035-0_13&partnerID=40&md5=6cf97fe42954fd6c29b6a44ac6a33922,1327,2021.0
calzolari_proceedings_2022,inproceedings,"Calzolari, Nicoletta and Huang, Chu-Ren and Kim, Hansaem and Pustejovsky, James and Wanner, Leo and Choi, Key-Sun and Ryu, Pum-Mo and Chen, Hsin-Hsi and Donatelli, Lucia and Ji, Heng",1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Proceedings of the 29th {International} {Conference} on {Computational} {Linguistics},nan,nan,2022.0
cao_multi-gate_2023,article,"Cao, Y. and Wang, Q. and Wang, X. and Peng, D. and Li, P.",0,1,nan,nan,10.1109/JBHI.2023.3325221,nan,nan,IEEE Journal of Biomedical and Health Informatics,nan,nan,1--13,nan,nan,Multi-gate {Mixture} of {Multi}-view {Graph} {Contrastive} {Learning} on {Electronic} {Health} {Record},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174853246&doi=10.1109%2fJBHI.2023.3325221&partnerID=40&md5=dfd27103cccbbd3476999061bce91bc5,nan,2023.0
carini_tribulations_2024,article,"Carini, Claudio and Seyhan, Attila A",1,0,nan,nan,nan,nan,1479-5876,Journal of Translational Medicine,Publisher: Springer,1,411,nan,nan,Tribulations and future opportunities for artificial intelligence in precision medicine,nan,22,2024.0
catelli_clinical_2021,inproceedings,"Catelli, R. and Gargiulo, F. and Damiano, E. and Esposito, M. and De Pietro, G.",0,1,nan,nan,10.1109/ICDH52753.2021.00050,nan,nan,nan,nan,nan,266--275,nan,nan,Clinical de-identification using sub-document analysis and {ELECTRA},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119481717&doi=10.1109%2fICDH52753.2021.00050&partnerID=40&md5=4b924fd284b186e033de600d2479be8a,nan,2021.0
cesario_survey_2024,article,"Cesario, Eugenio and Comito, Carmela and Zumpano, Ester",1,0,nan,nan,nan,nan,0925-2312,Neurocomputing,Publisher: Elsevier,nan,127079,nan,nan,A survey of the recent trends in deep learning for literature based discovery in the biomedical domain,nan,568,2024.0
chaddad_federated_2023,article,"Chaddad, Ahmad and Wu, Yihang and Desrosiers, Christian",1,0,nan,nan,nan,nan,2327-4662,IEEE Internet of Things Journal,Publisher: IEEE,nan,nan,nan,nan,Federated learning for healthcare applications,nan,nan,2023.0
chang_incorporating_2021,article,"Chang, D. and Lin, E. and Brandt, C. and Taylor, R.A.",0,1,nan,nan,10.2196/23101,nan,nan,JMIR Medical Informatics,nan,11,nan,nan,nan,Incorporating domain knowledge into language models by using graph convolutional networks for assessing semantic textual similarity: {Model} development and performance comparison,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120171749&doi=10.2196%2f23101&partnerID=40&md5=75cd7707fc3f80c27955fa4d85f4c2a5,9,2021.0
chang_intelligence-based_2023,book,"Chang, Anthony C and Limon, Alfonso and Brisk, Robert and Lopez-Jimenez, Francisco and Sun, Louise Y",1,0,nan,nan,nan,0-323-90629-X,nan,nan,nan,nan,nan,Elsevier,nan,Intelligence-{Based} {Cardiology} and {Cardiac} {Surgery}: {Artificial} {Intelligence} and {Human} {Cognition} in {Cardiovascular} {Medicine},nan,nan,2023.0
chang_introduction_2024,incollection,"Chang, Anthony C and Limon, Alfonso",1,0,nan,Intelligence-{Based} {Cardiology} and {Cardiac} {Surgery},nan,nan,nan,nan,nan,nan,3--120,Elsevier,nan,Introduction to artificial intelligence for cardiovascular clinicians,nan,nan,2024.0
chapman_this_nodate,article,"Chapman, Wendy W",1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"This book provides a very readable introduction into our current understanding of all these issues and affords the opportunity for non-{AI} experts to appreciate how {AI} can improve clinical care while being made aware of its current limitations and how these may be overcome. {Professor} {Ian} {Scott}, {Director} of {Internal} {Medicine} and {Clinical} {Epidemiology}, {Princess}",nan,nan,nan
chechulina_semi-automated_2023,article,"Chechulina, Anna and Carus, Jasmin and Breitfeld, Philipp and Gundler, Christopher and Hees, Hanna and Twerenbold, Raphael and Blankenberg, Stefan and Ückert, Frank and Nürnberg, Sylvia",1,0,nan,nan,nan,nan,2076-3417,Applied Sciences,Publisher: MDPI,14,8159,nan,nan,Semi-{Automated} {Mapping} of {German} {Study} {Data} {Concepts} to an {English} {Common} {Data} {Model},nan,13,2023.0
